source_type,id,ai_summary,ai_tag,content,created_at,creator,description,image_url,link,pub_date,seq,source_id,source_name,title,updated_at,ai_org,ai_region,article_id,category,country,datatype,is_duplicate,fetched_at,keywords,language,pub_date_tz,sentiment,sentiment_stats,source_icon,source_priority,source_url,video_url
NEWSDATA,91a6c6bb-f74a-4a48-ad2a-44248e7972a0,There is no provided article to summarize.,,ONLY AVAILABLE IN PAID PLANS,,don miller,"British Land Company PLC (LON:BLND – Get Free Report) insider Simon Carter purchased 40 shares of the business’s stock in a transaction dated Tuesday, April 14th. The stock was purchased at an average price of GBX 383 per share, for a total transaction of £153.20. Simon Carter also recently made the following trade(s): On Monday, [...]",https://www.marketbeat.com/logos/british-land-company-plc-logo-1200x675.png?v=20221117150939,https://baseballnewssource.com/2026/04/19/insider-buying-british-land-lonblnd-insider-buys-153-20-in-stock/11093423.html,,,baseballnewssource,Bbns,Insider Buying: British Land (LON:BLND) Insider Buys £153.20 in Stock,,,,348bdcb28502dd68e787c13d770f29b1,sports,united states of america,,false,,"blnd,insider trading,british land,lon:blnd,stocks,insider trades,real estate",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/baseballnewssource.png,1537232,https://baseballnewssource.com,
NEWSDATA,a9a86aed-603a-44d3-ae5d-0bbe8077f826,"There is no article to summarize. Can you please provide the text of the article you would like me to summarize, and I will do my best to provide a concise summary and suggest a few appropriate tags (comma-separated)?",,ONLY AVAILABLE IN PAID PLANS,,stephan jacobs,"Ct Healthcare Trust (red) (LON:CTHT – Get Free Report) insider Tony Young purchased 14,233 shares of the firm’s stock in a transaction on Wednesday, April 15th. The shares were acquired at an average price of GBX 140 per share, with a total value of £19,926.20. Ct Healthcare Trust (red) Price Performance Shares of CTHT stock [...]",https://www.marketbeat.com/logos/generic-stocks3.jpg,https://www.thelincolnianonline.com/2026/04/19/ct-healthcare-trust-red-lonctht-insider-purchases-19926-20-in-stock.html,,,thelincolnianonline,The Lincolnian Online,"Ct Healthcare Trust (red) (LON:CTHT) Insider Purchases £19,926.20 in Stock",,,,07265c5165cd6774d6b8ea8b814c166a,business,united states of america,,false,,"stocks,insider trades,real estate,ct healthcare trust (red),ctht,insider trading,lon:ctht",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/thelincolnianonline.png,5143682,https://www.thelincolnianonline.com,
NEWSDATA,89844ba1-bcbf-4ece-b980-4e9fc928cd3a,"There appears to be no article to summarize. Please provide the article you would like me to summarize, and I will be happy to assist you.",,ONLY AVAILABLE IN PAID PLANS,,andrew walz,"Galliford Try Holdings plc (LON:GFRD – Get Free Report) insider Kevin Boyd bought 4,000 shares of Galliford Try stock in a transaction that occurred on Thursday, April 16th. The shares were acquired at an average price of GBX 528 per share, with a total value of £21,120. Galliford Try Trading Up 1.9% Galliford Try stock [...]",https://www.marketbeat.com/logos/galliford-try-logo-1200x675.jpg,https://baseballnewssource.com/2026/04/19/insider-buying-galliford-try-longfrd-insider-buys-21120-in-stock/11093424.html,,,baseballnewssource,Bbns,"Insider Buying: Galliford Try (LON:GFRD) Insider Buys £21,120 in Stock",,,,cc6ef2b9094e1b6ae786d54fd87c9f60,sports,united states of america,,false,,"lon:gfrd,gfrd,insider trading,industrial,stocks,insider trades,galliford try",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/baseballnewssource.png,1537232,https://baseballnewssource.com,
NEWSDATA,4b466cde-303b-4acf-a8b9-24207bbd0cf9,"There is no article provided. Please share the article you'd like me to summarize, and I'll provide a concise summary and relevant tags.",,ONLY AVAILABLE IN PAID PLANS,,shane hupp,"Frontier Developments plc (LON:FDEV – Get Free Report) insider David John Braben sold 12,500 shares of the company’s stock in a transaction that occurred on Wednesday, April 15th. The stock was sold at an average price of GBX 385, for a total value of £48,125. David John Braben also recently made the following trade(s): On [...]",https://www.marketbeat.com/logos/frontier-developments-plc-logo-1200x675.jpg,https://www.tickerreport.com/banking-finance/13411826/frontier-developments-lonfdev-insider-sells-48125-in-stock.html,,,tickerreport,Ticker Report,"Frontier Developments (LON:FDEV) Insider Sells £48,125 in Stock",,,,68014c79529d75edf35ca0c1be7e663b,business,united states of america,,false,,"frontier developments,communication service,fdev,insider trading,stocks,lon:fdev,insider trades",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/tickerreport.png,571647,https://www.tickerreport.com,
NEWSDATA,d0d6b684-a04c-4f5c-b008-06456e2e6c4a,"It seems there's no article provided. Please share the article you'd like me to summarize, and I'll be happy to assist you. I'll generate a summary and suggest a few tags for you.",,ONLY AVAILABLE IN PAID PLANS,,micah haroldson,"Staffline Group plc (LON:STAF – Get Free Report) insider Thomas Spain sold 91,559 shares of the business’s stock in a transaction that occurred on Tuesday, April 14th. The shares were sold at an average price of GBX 44, for a total value of £40,285.96. Thomas Spain also recently made the following trade(s): On Friday, March [...]",https://www.marketbeat.com/logos/staffline-group-plc-logo-1200x675.png?v=20230104114336,https://www.watchlistnews.com/staffline-group-lonstaf-insider-sells-40285-96-in-stock/11053259.html,,,watchlistnews,Watch List News,"Staffline Group (LON:STAF) Insider Sells £40,285.96 in Stock",,,,280490eecad4f8b60e57fd5e58f5e60a,business,united states of america,,false,,"staf,insider trading,industrial,stocks,insider trades,staffline group,lon:staf",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/watchlistnews.png,927984,https://www.watchlistnews.com,
NEWSDATA,13be578e-1f9e-4202-b943-fd9354a6af90,"There's no article provided. Please share the article text, and I will create a summary and provide some suggested tags for you.",,ONLY AVAILABLE IN PAID PLANS,,shane hupp,"Oxford Metrics plc (LON:OMG – Get Free Report) insider Ian Wilcock acquired 1,441 shares of the stock in a transaction dated Tuesday, April 14th. The shares were bought at an average cost of GBX 48 per share, with a total value of £691.68. Oxford Metrics Stock Performance Shares of Oxford Metrics stock opened at GBX [...]",https://www.marketbeat.com/logos/oxford-metrics-plc-logo-1200x675.png?v=20241112115325,https://www.tickerreport.com/banking-finance/13411825/oxford-metrics-lonomg-insider-purchases-691-68-in-stock.html,,,tickerreport,Ticker Report,Oxford Metrics (LON:OMG) Insider Purchases £691.68 in Stock,,,,5a247db8050d441240ebcbe3dab4be0b,business,united states of america,,false,,"omg,lon:omg,oxford metrics,insider trading,stocks,insider trades,computer and technology",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/tickerreport.png,571647,https://www.tickerreport.com,
NEWSDATA,ed37c027-e000-4f7e-92b8-aa39e7a050c6,"It appears that there is no article provided. Please share the article you would like me to summarize and I'll be happy to help. 

Once you share the article, I'll:

1. Summarize it for you
2. Suggest a few relevant tags (comma-separated)",,ONLY AVAILABLE IN PAID PLANS,,micah haroldson,"Anglo American plc (LON:AAL – Get Free Report) insider Duncan Wanblad bought 4 shares of the firm’s stock in a transaction that occurred on Tuesday, April 14th. The stock was purchased at an average cost of GBX 3,592 per share, with a total value of £143.68. Duncan Wanblad also recently made the following trade(s): On [...]",https://www.marketbeat.com/logos/anglo-american-logo-1200x675.jpg,https://www.watchlistnews.com/anglo-american-lonaal-insider-purchases-143-68-in-stock/11053258.html,,,watchlistnews,Watch List News,Anglo American (LON:AAL) Insider Purchases £143.68 in Stock,,,,f70c4c5f22054604c223fa1bd6793541,business,united states of america,,false,,"basic material,lon:aal,insider trading,anglo american,stocks,insider trades,aal",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/watchlistnews.png,927984,https://www.watchlistnews.com,
NEWSDATA,9d424d5f-1c89-4423-9c85-9f386561464b,,,ONLY AVAILABLE IN PAID PLANS,,josh blackman,,https://d2eehagpk5cl65.cloudfront.net/img/q60/uploads/2021/11/reason-logo-featured-placeholder.jpg.webp,https://reason.com/volokh/2026/04/19/some-questions-about-the-scotus-leak-on-the-clean-power-plan-case/,,,reason,Reason Magazine,Some Questions About The SCOTUS Leak On the Clean Power Plan Case,,,,761cd182a4908854700d11c327414a6d,"business,top",united states of america,,false,,,english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/reason.png,12511,https://reason.com,
NEWSDATA,c808823c-72fd-4516-b0c0-b7e0d903ed9d,There is no article provided. Could you please share the text of the article you'd like me to summarize and generate tags for?,,ONLY AVAILABLE IN PAID PLANS,,trevor kearing,"Vistry Group PLC (LON:VTY – Get Free Report) insider Tim Lawlor bought 42 shares of the company’s stock in a transaction that occurred on Thursday, April 16th. The shares were acquired at an average cost of GBX 356 per share, with a total value of £149.52. Tim Lawlor also recently made the following trade(s): On [...]",https://www.marketbeat.com/logos/mg-plc-logo-1200x675.jpg?v=20200116205850,https://www.dailypolitical.com/2026/04/18/insider-buying-vistry-group-lonvty-insider-purchases-149-52-in-stock.html,,,dailypolitical,Daily Political,Insider Buying: Vistry Group (LON:VTY) Insider Purchases £149.52 in Stock,,,,3b8c9bd423348044a8e3b78a535f0178,politics,united states of america,,false,,"lon:vty,vty,consumer cyclical,vistry group,insider trading,stocks,insider trades",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/dailypolitical.png,1152138,https://www.dailypolitical.com,
NEWSDATA,b4ff8632-6472-49ab-8c58-cb496035467a,"Unfortunately, it seems like you haven't provided any article text for me to summarize and suggest tags on. 

Please copy and paste the article text, and I'll be happy to assist you with a summary and a set of suggested tags.",,ONLY AVAILABLE IN PAID PLANS,,logan wallace,"Anglo American plc (LON:AAL – Get Free Report) insider John Heasley purchased 4 shares of the stock in a transaction on Tuesday, April 14th. The stock was acquired at an average price of GBX 3,592 per share, with a total value of £143.68. John Heasley also recently made the following trade(s): On Monday, March 16th, [...]",https://www.marketbeat.com/logos/anglo-american-logo-1200x675.jpg,https://www.tickerreport.com/banking-finance/13411824/insider-buying-anglo-american-lonaal-insider-acquires-143-68-in-stock.html,,,tickerreport,Ticker Report,Insider Buying: Anglo American (LON:AAL) Insider Acquires £143.68 in Stock,,,,df91e3a901d4bb7f44ceb6f304927ee2,business,united states of america,,false,,"basic material,lon:aal,insider trading,anglo american,stocks,insider trades,aal",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/tickerreport.png,571647,https://www.tickerreport.com,
NEWSDATA,14955bbc-0f15-4a49-9b1d-d716289bbe18,"There's no article provided for me to summarize. Please paste the article you would like me to summarize, and I will generate a summary along with suggested tags.",,ONLY AVAILABLE IN PAID PLANS,,lindsey winhoffer,"Johnson Matthey PLC (LON:JMAT – Get Free Report) insider Liam Condon purchased 12 shares of the company’s stock in a transaction that occurred on Wednesday, April 15th. The shares were acquired at an average cost of GBX 2,022 per share, with a total value of £242.64. Liam Condon also recently made the following trade(s): On [...]",https://www.marketbeat.com/logos/johnson-matthey-plc-logo-1200x675.png?v2,https://www.watchlistnews.com/insider-buying-johnson-matthey-lonjmat-insider-purchases-242-64-in-stock/11053257.html,,,watchlistnews,Watch List News,Insider Buying: Johnson Matthey (LON:JMAT) Insider Purchases £242.64 in Stock,,,,d687d942cfa9ab0e1177206879be1ae1,business,united states of america,,false,,"basic material,johnson matthey,lon:jmat,insider trading,stocks,insider trades,jmat",english,UTC,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://n.bytvi.com/watchlistnews.png,927984,https://www.watchlistnews.com,
